Symbol,Name,Price,Change,% Change,Market Cap
Bitcoin USD,BTC-USD,"84,586.35","3,158.52",+3.88%,1.678T
Ethereum USD,ETH-USD,"2,023.00",142.17,+7.56%,244.028B
XRP USD,XRP-USD,2.4855,0.25,+11.18%,144.432B
Tether USDt USD,USDT-USD,1.0001,0.0004,+0.04%,143.452B
BNB USD,BNB-USD,614.76,-17.46,-2.76%,87.587B
Solana USD,SOL-USD,130.45,6.97,+5.65%,66.534B
USD Coin USD,USDC-USD,1.0000,0.0001,+0.01%,59.117B
Cardano USD,ADA-USD,0.728609,0.041221,+6.00%,25.672B
Dogecoin USD,DOGE-USD,0.170615,0.006708,+4.09%,25.336B
TRON USD,TRX-USD,0.229608,0.002399,+1.06%,21.817B
Wrapped TRON USD,WTRX-USD,0.229614,0.002699,+1.19%,20.074B
Lido Staked ETH USD,STETH-USD,"2,025.16",147.34,+7.85%,18.887B
Wrapped Bitcoin USD,WBTC-USD,"84,316.77","3,004.84",+3.70%,10.883B
Chainlink USD,LINK-USD,14.39,0.87,+6.47%,9.453B
Toncoin USD,TON11419-USD,3.7435,0.1406,+3.90%,9.29B
UNUS SED LEO USD,LEO-USD,9.8204,0.096,+0.99%,9.073B
Lido wstETH USD,WSTETH-USD,"2,423.89",171.03,+7.59%,9.02B
Stellar USD,XLM-USD,0.286875,0.01938,+7.25%,8.823B
USDS USD,USDS33039-USD,1.0019,0.0023,+0.23%,8.423B
Avalanche USD,AVAX-USD,19.65,1.22,+6.64%,8.143B
Hedera USD,HBAR-USD,0.190972,0.008143,+4.45%,8.063B
Sui USD,SUI20947-USD,2.3816,0.1423,+6.35%,7.549B
Shiba Inu USD,SHIB-USD,0.000013,0,+3.07%,7.489B
Polkadot USD,DOT-USD,4.5047,0.2091,+4.87%,7.025B
Litecoin USD,LTC-USD,91.38,3.55,+4.04%,6.905B
Bitcoin USD,BTC-USD,"84,586.35","3,158.52",+3.88%,1.678T
Ethereum USD,ETH-USD,"2,023.00",142.17,+7.56%,244.028B
XRP USD,XRP-USD,2.4855,0.25,+11.18%,144.432B
Tether USDt USD,USDT-USD,1.0001,0.0004,+0.04%,143.452B
BNB USD,BNB-USD,614.76,-17.46,-2.76%,87.587B
Solana USD,SOL-USD,130.45,6.97,+5.65%,66.534B
USD Coin USD,USDC-USD,1.0000,0.0001,+0.01%,59.117B
Cardano USD,ADA-USD,0.728609,0.041221,+6.00%,25.672B
Dogecoin USD,DOGE-USD,0.170615,0.006708,+4.09%,25.336B
TRON USD,TRX-USD,0.229608,0.002399,+1.06%,21.817B
Wrapped TRON USD,WTRX-USD,0.229614,0.002699,+1.19%,20.074B
Lido Staked ETH USD,STETH-USD,"2,025.16",147.34,+7.85%,18.887B
Wrapped Bitcoin USD,WBTC-USD,"84,316.77","3,004.84",+3.70%,10.883B
Chainlink USD,LINK-USD,14.39,0.87,+6.47%,9.453B
Toncoin USD,TON11419-USD,3.7435,0.1406,+3.90%,9.29B
UNUS SED LEO USD,LEO-USD,9.8204,0.096,+0.99%,9.073B
Lido wstETH USD,WSTETH-USD,"2,423.89",171.03,+7.59%,9.02B
Stellar USD,XLM-USD,0.286875,0.01938,+7.25%,8.823B
USDS USD,USDS33039-USD,1.0019,0.0023,+0.23%,8.423B
Avalanche USD,AVAX-USD,19.65,1.22,+6.64%,8.143B
Hedera USD,HBAR-USD,0.190972,0.008143,+4.45%,8.063B
Sui USD,SUI20947-USD,2.3816,0.1423,+6.35%,7.549B
Shiba Inu USD,SHIB-USD,0.000013,0,+3.07%,7.489B
Polkadot USD,DOT-USD,4.5047,0.2091,+4.87%,7.025B
Litecoin USD,LTC-USD,91.38,3.55,+4.04%,6.905B
Bitcoin USD,BTC-USD,"84,492.55","3,095.50",+3.80%,1.676T
Ethereum USD,ETH-USD,"2,026.24",148.96,+7.93%,244.418B
XRP USD,XRP-USD,2.4875,0.2525,+11.30%,144.545B
Tether USDt USD,USDT-USD,0.999914,0.000235,+0.02%,143.427B
BNB USD,BNB-USD,614.83,-17.09,-2.70%,87.597B
Solana USD,SOL-USD,130.51,7.13,+5.78%,66.565B
USD Coin USD,USDC-USD,1.0000,0.0002,+0.02%,59.118B
Cardano USD,ADA-USD,0.729090,0.042069,+6.12%,25.689B
Dogecoin USD,DOGE-USD,0.170685,0.006852,+4.18%,25.346B
TRON USD,TRX-USD,0.229617,0.002449,+1.08%,21.817B
Wrapped TRON USD,WTRX-USD,0.229569,0.002795,+1.23%,20.07B
Lido Staked ETH USD,STETH-USD,"2,028.29",152.64,+8.14%,18.917B
Wrapped Bitcoin USD,WBTC-USD,"84,341.92","3,034.12",+3.73%,10.887B
Chainlink USD,LINK-USD,14.40,0.89,+6.57%,9.461B
Toncoin USD,TON11419-USD,3.7411,0.1476,+4.11%,9.284B
UNUS SED LEO USD,LEO-USD,9.8191,0.1079,+1.11%,9.072B
Lido wstETH USD,WSTETH-USD,"2,424.52",171.27,+7.60%,9.022B
Stellar USD,XLM-USD,0.287065,0.019872,+7.44%,8.829B
USDS USD,USDS33039-USD,0.999263,-0.001938,-0.19%,8.401B
Avalanche USD,AVAX-USD,19.67,1.26,+6.87%,8.151B
Hedera USD,HBAR-USD,0.191098,0.00834,+4.56%,8.068B
Sui USD,SUI20947-USD,2.3846,0.1492,+6.68%,7.559B
Shiba Inu USD,SHIB-USD,0.000013,0,+3.17%,7.492B
Polkadot USD,DOT-USD,4.5058,0.211,+4.91%,7.027B
Litecoin USD,LTC-USD,91.41,3.59,+4.09%,6.907B
