Name,Symbol,Price,Change,% Change,Market Cap
BTC-USD,Bitcoin USD,,"84,571.14 +2,889.14 (+3.54%)",,+3.54%
ETH-USD,Ethereum USD,,"2,044.92 +160.07 (+8.49%)",,+8.49%
XRP-USD,XRP USD,,2.5474 +0.3065 (+13.68%),,+13.68%
USDT-USD,Tether USDt USD,,1.0000 +0.0001 (+0.01%),,+0.01%
BNB-USD,BNB USD,,609.48 -19.31 (-3.07%),,-3.07%
SOL-USD,Solana USD,,131.97 +9.12 (+7.42%),,+7.42%
USDC-USD,USD Coin USD,,0.999874 -0.000071 (-0.01%),,-0.01%
ADA-USD,Cardano USD,,0.739781 +0.051018 (+7.41%),,+7.41%
DOGE-USD,Dogecoin USD,,0.173056 +0.009079 (+5.54%),,+5.54%
TRX-USD,TRON USD,,0.230404 +0.006690 (+2.99%),,+2.99%
WTRX-USD,Wrapped TRON USD,,0.230549 +0.007002 (+3.13%),,+3.13%
STETH-USD,Lido Staked ETH USD,,"2,045.85 +164.00 (+8.71%)",,+8.71%
WBTC-USD,Wrapped Bitcoin USD,,"84,529.50 +3,011.00 (+3.69%)",,+3.69%
LINK-USD,Chainlink USD,,14.60 +0.99 (+7.25%),,+7.25%
TON11419-USD,Toncoin USD,,3.7340 +0.1477 (+4.12%),,+4.12%
WSTETH-USD,Lido wstETH USD,,"2,438.00 +179.30 (+7.94%)",,+7.94%
LEO-USD,UNUS SED LEO USD,,9.8150 +0.0761 (+0.78%),,+0.78%
XLM-USD,Stellar USD,,0.292697 +0.025785 (+9.66%),,+9.66%
USDS33039-USD,USDS USD,,0.998752 -0.002309 (-0.23%),,-0.23%
AVAX-USD,Avalanche USD,,19.83 +1.39 (+7.56%),,+7.56%
HBAR-USD,Hedera USD,,0.194172 +0.010170 (+5.53%),,+5.53%
SUI20947-USD,Sui USD,,2.4178 +0.1748 (+7.79%),,+7.79%
SHIB-USD,Shiba Inu USD,,0.000013 +0.000000 (+3.84%),,+3.84%
DOT-USD,Polkadot USD,,4.5324 +0.2340 (+5.44%),,+5.44%
LTC-USD,Litecoin USD,,91.97 +3.69 (+4.18%),,+4.18%
BTC-USD,Bitcoin USD,,"84,571.14 +2,889.14 (+3.54%)",,+3.54%
ETH-USD,Ethereum USD,,"2,044.92 +160.07 (+8.49%)",,+8.49%
XRP-USD,XRP USD,,2.5474 +0.3065 (+13.68%),,+13.68%
USDT-USD,Tether USDt USD,,1.0000 +0.0001 (+0.01%),,+0.01%
BNB-USD,BNB USD,,609.48 -19.31 (-3.07%),,-3.07%
SOL-USD,Solana USD,,131.97 +9.12 (+7.42%),,+7.42%
USDC-USD,USD Coin USD,,0.999874 -0.000071 (-0.01%),,-0.01%
ADA-USD,Cardano USD,,0.739781 +0.051018 (+7.41%),,+7.41%
DOGE-USD,Dogecoin USD,,0.173056 +0.009079 (+5.54%),,+5.54%
TRX-USD,TRON USD,,0.230404 +0.006690 (+2.99%),,+2.99%
WTRX-USD,Wrapped TRON USD,,0.230549 +0.007002 (+3.13%),,+3.13%
STETH-USD,Lido Staked ETH USD,,"2,045.85 +164.00 (+8.71%)",,+8.71%
WBTC-USD,Wrapped Bitcoin USD,,"84,529.50 +3,011.00 (+3.69%)",,+3.69%
LINK-USD,Chainlink USD,,14.60 +0.99 (+7.25%),,+7.25%
