Title,Year,Director,Genre,IMDB Rating,Plot
Inception,2010,Christopher Nolan,"Action, Adventure, Sci-Fi",8.8,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster."
The Dark Knight,2008,Christopher Nolan,"Action, Crime, Drama",9,"When a menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness."
Dunkirk,2017,Christopher Nolan,"Action, Drama, History",7.8,"Allied soldiers from Belgium, the British Commonwealth and Empire, and France are surrounded by the German Army and evacuated during a fierce battle in World War II."
Pulp Fiction,1994,Quentin Tarantino,"Crime, Drama",8.9,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
Django Unchained,2012,Quentin Tarantino,"Comedy, Drama, Western",8.5,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi."
Kill Bill: Vol. 1,2003,Quentin Tarantino,"Action, Crime, Thriller",8.2,"After waking from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her."
Inglourious Basterds,2009,Quentin Tarantino,"Adventure, Drama, War",8.4,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same."
Once Upon a Time in Hollywood,2016,Quentin Tarantino,Drama,N/A,N/A
Goodfellas,1990,Martin Scorsese,"Biography, Crime, Drama",8.7,"The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito."
The Wolf of Wall Street,2013,Martin Scorsese,"Biography, Comedy, Crime",8.2,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government."
Taxi Driver,1976,Martin Scorsese,"Crime, Drama",8.2,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action."
The Irishman,2019,Martin Scorsese,"Biography, Crime, Drama",7.8,"An illustration of Frank Sheeran's life, from W.W.II veteran to hit-man for the Bufalino crime family and his alleged assassination of his close friend Jimmy Hoffa."
Casino,1995,Martin Scorsese,"Crime, Drama",8.2,"In Las Vegas, two best friends--a casino executive and a Mafia enforcer--compete for a gambling empire and a fast-living, fast-loving socialite."
Jurassic Park,1993,Steven Spielberg,"Action, Adventure, Sci-Fi",8.2,"An industrialist invites some experts to visit his theme park of cloned dinosaurs. After a power failure, the creatures run loose, putting everyone's lives, including his grandchildren's, in danger."
Schindler's List,1993,Steven Spielberg,"Biography, Drama, History",9,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis."
E.T. the Extra-Terrestrial,1982,Steven Spielberg,"Adventure, Family, Sci-Fi",7.9,A troubled child summons the courage to help a friendly alien escape from Earth and return to his home planet.
Jaws,1975,Steven Spielberg,"Adventure, Drama, Horror",8.1,"When a massive killer shark unleashes chaos on a beach community off Long Island, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down."
Indiana Jones and the Last Crusade,1989,Steven Spielberg,"Action, Adventure",8.2,"In 1938, after his father goes missing while pursuing the Holy Grail, Indiana Jones finds himself up against the Nazis again to stop them from obtaining its powers."
Gladiator,2000,Ridley Scott,"Action, Adventure, Drama",8.5,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.
Blade Runner,1982,Ridley Scott,"Action, Drama, Sci-Fi",8.1,A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator.
The Martian,2015,Ridley Scott,"Adventure, Drama, Sci-Fi",8,"An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive and can survive until a potential rescue."
Alien,1979,Ridley Scott,"Horror, Sci-Fi",8.5,"After investigating a mysterious transmission of unknown origin, the crew of a commercial spacecraft encounters a deadly lifeform."
Black Hawk Down,2001,Ridley Scott,"Action, Drama, History",7.7,"The story of 160 elite U.S. soldiers who dropped into Mogadishu in October 1993 to capture two top lieutenants of a renegade warlord, but found themselves in a desperate battle with a large force of heavily armed Somalis."
Titanic,1997,James Cameron,"Drama, Romance",7.9,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic."
Avatar,2009,James Cameron,"Action, Adventure, Fantasy",7.9,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.
Terminator 2: Judgment Day,1991,James Cameron,"Action, Adventure, Sci-Fi",8.6,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son John from an even more advanced and powerful cyborg."
Aliens,1986,James Cameron,"Action, Adventure, Horror",8.4,"Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring."
The Abyss,1989,James Cameron,"Adventure, Drama, Mystery",7.5,A civilian diving team is enlisted to search for a lost nuclear submarine and faces danger while encountering an alien aquatic species.
Fight Club,1999,David Fincher,Drama,8.8,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
Se7en,1995,David Fincher,"Crime, Drama, Mystery",8.6,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives."
Gone Girl,2014,David Fincher,"Drama, Mystery, Thriller",8.1,The husband of a missing woman becomes the chief suspect in her disappearance.
The Social Network,2010,David Fincher,"Biography, Drama",7.8,"As Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, he is sued by the twins who claimed he stole their idea and by the co-founder who was later squeezed out of the business."
Zodiac,2007,David Fincher,"Crime, Drama, Mystery",7.7,"Between 1968 and 1983, a San Francisco cartoonist becomes an amateur detective obsessed with tracking down the Zodiac Killer, an unidentified individual who terrorizes Northern California with a killing spree."
The Shining,1980,Stanley Kubrick,"Drama, Horror",8.4,"A family heads to an isolated hotel for the winter, where a sinister presence influences the father into violence. At the same time, his psychic son sees horrifying forebodings from both the past and the future."
A Clockwork Orange,1971,Stanley Kubrick,"Crime, Sci-Fi",8.2,Alex DeLarge and his droogs barbarize a decaying near-future.
2001: A Space Odyssey,1968,Stanley Kubrick,"Adventure, Sci-Fi",8.3,"When a mysterious artifact is uncovered on the Moon, a spacecraft manned by two humans and one supercomputer is sent to Jupiter to find its origins."
Full Metal Jacket,1987,Stanley Kubrick,"Drama, War",8.2,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.
Dr. Strangelove,2012,Stanley Kubrick,"Short, Comedy, Crime",N/A,"Local criminal entrepreneur, known as Doc, is given a job by a local crime boss to collect some money. However, the results of said collection are not usual."
The Lord of the Rings: The Fellowship of the Ring,2001,Peter Jackson,"Adventure, Drama, Fantasy",8.9,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
The Hobbit,1977,Peter Jackson,"Animation, Adventure, Family",6.7,A homebody hobbit in Middle Earth gets talked into joining a quest with a group of dwarves to recover their treasure from a dragon.
King Kong,2005,Peter Jackson,"Action, Adventure, Romance",7.2,"A greedy film producer assembles a team of moviemakers and sets out for the infamous Skull Island, where they find more than just cannibalistic natives."
The Lovely Bones,2009,Peter Jackson,"Drama, Fantasy, Thriller",6.6,Centers on a young girl who has been murdered and watches over her family - and her killer - from purgatory. She must weigh her desire for vengeance against her desire for her family to heal.
The Frighteners,1996,Peter Jackson,"Comedy, Fantasy, Horror",7.1,"After a tragic car accident that kills his wife, a man discovers he can communicate with the dead, and he uses that gift to con people. However, when a demonic spirit appears, he may be the only one who can stop it from killing th..."
Dune,1984,Denis Villeneuve,"Action, Adventure, Sci-Fi",6.3,A Duke's son leads desert warriors against the galactic emperor and his father's evil nemesis to free their desert world from the emperor's rule.
Arrival,2016,Denis Villeneuve,"Drama, Mystery, Sci-Fi",7.9,"Linguist Louise Banks leads a team of investigators when gigantic spaceships touch down around the world. As nations teeter on the verge of global war, Banks and her crew must find a way to communicate with the extraterrestrial vi..."
Blade Runner 2049,2017,Denis Villeneuve,"Action, Drama, Mystery",8,"Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years."
Prisoners,2013,Denis Villeneuve,"Crime, Drama, Mystery",8.2,"Keller Dover is facing every parent's worst nightmare. His six-year-old daughter, Anna, is missing, together with her friend, Joy, and as minutes turn to hours, panic sets in. The only lead is an RV that had been parked on their s..."
Sicario,2015,Denis Villeneuve,"Action, Crime, Drama",7.7,An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.
Gundala,2019,Joko Anwar,"Action, Adventure, Drama",6.1,Indonesia's preeminent comic book superhero and his alter ego Sancaka enter the cinematic universe to battle the wicked Pengkor and his diabolical squad of orphan assassins.
A Copy of My Mind,2015,Joko Anwar,Drama,7.1,A female cheap salon worker and a pirated DVDs subtitle maker fall in love during the turbulent presidential election in Indonesia.
Kartini: Princess of Java,2017,Hanung Bramantyo,"Biography, Drama, Family",7.6,"This movie follows the story of the Indonesian heroine named Kartini. In the early 1900s, when Indonesia was still a colony of the Netherlands, women weren't allowed to get higher education. Kartini grew up to fight for equality f..."
Sang Pencerah,2010,Hanung Bramantyo,"Biography, Drama, History",7.1,"The journey of an Indonesian national hero named K.H. Ahmad Dahlan striving for Muhammadiyah, an Islamic organization in Indonesia, and how he was rejected by the society as he was trying to fix up their perspective."
Rudy Habibie,2016,Hanung Bramantyo,"Biography, Drama, Romance",7.5,"This movie follows the story of the 3rd President of Indonesia, B.J. Habibie, young life when he was studying in the university in Germany, his struggle life as a student, and his love life before he eventually dates Ainun."
Cek Toko Sebelah the Series: Ada Lawan Baru,2022,Ernest Prakasa,"Comedy, Drama",N/A,N/A
Imperfect,2019,Ernest Prakasa,"Comedy, Drama, Romance",7.7,"Being born fat and has dark skins, it feels like a curse for Rara, especially when she worked at the office that has surrounded by pretty girls. Her boss wants her to lose her weight, but there is a man who loves the way she were."
Ngenest,2015,Ernest Prakasa,Comedy,7,"Ernest, an Indonesia guy of Chinese descent, has to deal with his life as a Chinese-born, how he often got bullied in school, and how he decided to find a local girl to marry."
Susah Sinyal,2017,Ernest Prakasa,"Comedy, Drama",7,"Ellen does not keep her promise to watch Kiara's performance at the talent-show competition between high schools. Kiara is angry and goes to Sumba alone, where she can feel a glimmer of happiness."
Milly,2018,Ernest Prakasa,"Short, Musical",N/A,N/A
Tusuk Jelangkung,2003,Rizal Mantovani,"Horror, Mystery",5.9,"Sequel to the 2001 movie ""Jelangkung"" which will reveal the secret of Jelangkung."
Wewe,2015,Rizal Mantovani,Horror,5.9,"A family move to a new, creepy house. While the parents fight a lot, their youngest daughter missing. It said that she was taken by a supernatural being called Wewe Gombel."
Kuntilanak 3,2022,Rizal Mantovani,"Adventure, Fantasy, Horror",4.2,"Dinda, who is considered strange by the village children because of her strength, accidentally injures Panji and Ambar. She regrets and asks Aunt Donna to register her at the Mata Hati School, so that she can learn to control her ..."
5 cm,2012,Rizal Mantovani,"Adventure, Drama, Romance",7.2,"Five best friends try to find out what true friendship is by climbing Mount Semeru, the highest peak in Java."
Air Terjun Pengantin,2009,Rizal Mantovani,Horror,3.6,"A woman and her lover go on vacation with their friends to Pengantin Island that has Pengantin Waterfall, a waterfall that if we hope for something there, it will happen."
My Stupid Boss,2016,Upi Avianto,Comedy,7.1,Diana (Bunga Citra Lestari) lives in Kuala Lumpur following her husband who works there. Diana then applied to work at a company owned by Bossman. Bossman happened to be her husband's college friend while in America.
"Realita, Cinta, dan Rock 'n Roll",2006,Upi Avianto,"Drama, Romance",6.8,Ipang (Vino G. Bastian) and Nugi (Herjunot Ali) are two friends who don't like school. They love to play music and have a dream of becoming rock'n roll musicians. They often skip school to have fun in Sandra's store (Nadine Chandr...
Serigala Terakhir,2009,Upi Avianto,"Action, Crime, Drama",6.7,Childhood friends who have the same story and same condition made a gang with their other friends. Their gang is named Serigala Terakhir a.k.the Last Wolves. They have a dream to be the biggest mafia that can they reach.
Belenggu Masjarakat,1953,Upi Avianto,Drama,N/A,N/A
Fiksi.,2008,Mouly Surya,"Drama, Thriller",7.5,Alisha (Ladya Cheryl) never feel comfortable staying in her cool and spacious home until one day she meets Bari (Donny Alamsyah) who introduces her the meaning of love.
What They Don't Talk About When They Talk About Love,2013,Mouly Surya,"Drama, Romance",7.1,"At a high school for the visually impaired student, the students are like any other teenagers: they attend classes, pursue artistic endeavors, and fall in love regardless of physical barriers."
Filosofi Kopi,2015,Angga Dwimas Sasongko,Drama,7.1,"A coffee shop struggling to pay their debts, while at the same time maintaining their principles."
Soegija,2012,Garin Nugroho,"Biography, Drama, History",6.3,"This movie follows the story of Dutch East Indies' (now Indonesia) first indigenous bishop, Albertus Soegijapranata SJ, from his inauguration until the end of Indonesia's independence war (1940-1949)."
Laskar Pelangi,2008,Riri Riza,"Adventure, Drama, Family",7.9,"In the 1970s, a group of 10 students struggles with poverty and develop hopes for the future in Gantong Village on the farming and tin mining island of Belitung off the east coast of Sumatra."
Sokola Rimba,2013,Riri Riza,"Biography, Drama",7.3,"Following Butet Manurung's journey from anthropologist to educator to activist as she works with the indigenous Orang Rimba people who live upstream the Makekal river in the forest of Bukit Duabelas of Jambi, Sumatera, Indonesia."
Gie,2005,Riri Riza,"Biography, Drama",7.6,"Soe Hok Gie is an activist who lived in the sixties. Set in the darkest era of Indonesian modern history, ""Gie"" is an interpretation of what happened based on his journal."
Lovely Man,2011,Teddy Soeriaatmadja,Drama,7.6,"Cahaya (Raihaanun) travels to Jakarta, Indonesia, to search for her father and discovers that he is a prostitute for men."
Something in the Way,2013,Teddy Soeriaatmadja,Drama,7.4,A porn obsessed taxi driver from Jakarta falls for the beautiful young prostitute and struggles with sexual frustration and misguided piety.
About A Woman,2015,Teddy Soeriaatmadja,Drama,7.9,A widow living alone develops an affectionate bond with young man hired by her children to assist her at home and offer her companionship.
Banyu Biru,2005,Teddy Soeriaatmadja,Drama,6.6,"Banyu (Tora Sudiro), a young supermarket customer service who is absorbed in his daily routine. A strange incident inspires him to hit the road and solve past family issues."
